frame,root_x,root_y,root_z,left_z,right_z,left_contact,right_contact,left_contact_count,right_contact_count,left_xy_step_motion,right_xy_step_motion,left_clearance,right_clearance,left_swing,right_swing
0,0.0,0.0,0.79,0.08011902943780005,-0.007620737489080903,0,1,0,2,0.0,0.0,0.10148624888302292,0.0012425727546547666,1,0
1,0.015451276674866676,3.0571674869861454e-05,0.79,0.0709829680905402,-0.006590984924168514,0,1,0,2,0.014174235838045104,0.004501623270357405,0.09235018753576306,0.002272325319567156,1,0
2,0.03147733584046364,-0.0002639866142999381,0.79,0.06674046159051027,-0.007243368041587289,0,1,0,2,0.005546022803393647,0.022375294274697394,0.08810768103573313,0.0016199422021483806,1,0
3,0.044972147792577744,-0.0011825484689325094,0.79,0.060843086753473136,-0.007047781442104245,0,1,0,2,0.025396070430040874,0.019350669252912484,0.082210306198696,0.0018155288016314247,1,0
4,0.057836826890707016,-0.0007575556519441307,0.79,0.05723823600063645,-0.007415657855070909,0,1,0,2,0.04701362194271313,0.015516677236677129,0.07860545544585931,0.0014476523886647608,1,0
5,0.0697726309299469,-0.0011215242557227612,0.79,0.06601002697924178,-0.007542757242859327,0,1,0,2,0.04351977879982276,0.02296966875766385,0.08737724642446465,0.0013205530008763428,1,0
6,0.08160195499658585,-0.0008693113340996206,0.79,0.07386245175567792,-0.007633018017836751,0,1,0,2,0.04418799408400462,0.02342683797705221,0.09522967120090078,0.0012302922258989185,1,0
7,0.09331678599119186,-0.0005372189916670322,0.79,0.0706500105969011,-0.00822056488778436,0,1,0,2,0.04412473098450655,0.03299515630296227,0.09201723004212396,0.0006427453559513102,1,0
8,0.10379564017057419,-0.00042584663606248796,0.79,0.053640195658248596,-0.0072187593123215765,0,1,0,2,0.05905388935159132,0.0207825191466254,0.07500741510347146,0.0016445509314140933,1,0
9,0.11447030305862427,0.0005317586474120617,0.79,0.02706550203563325,-0.005460674321710712,0,1,0,2,0.06904077134321873,0.019045817914367106,0.04843272148085612,0.0034026359220249575,1,0
10,0.12472517788410187,0.0008861253736540675,0.79,-0.0002798268181086333,-2.5783383634778168e-05,1,1,2,1,0.07004305980808193,0.016217006729327122,0.02108739262711423,0.008837526860100892,1,0
11,0.1354224979877472,0.0014662789180874825,0.79,-0.01834124281844912,0.009049597086211447,1,0,2,0,0.07582888048072309,0.019349734070786585,0.00302597662677374,0.017912907329947117,0,1
12,0.14658600091934204,0.0025611130986362696,0.79,-0.022393556059363606,0.023431952148049537,1,0,2,0,0.07293269567816944,0.017715142576499802,-0.0010263366141407444,0.03229526239178521,0,1
13,0.15824459493160248,0.003615635447204113,0.79,-0.012090732064342455,0.034261862739198526,1,0,2,0,0.06982526887485695,0.012674004074503746,0.009276487380880407,0.043125172982934196,0,1
14,0.17083604633808136,0.004796434193849564,0.79,0.0065931250691822485,0.04673967082842691,0,0,0,0,0.05272392284793315,0.0146358698238096,0.02796034451440511,0.05560298107216258,1,1
15,0.18412430584430695,0.006283911410719156,0.79,0.021532072692884846,0.0599573835895819,0,0,0,0,0.03105360574982381,0.014444561153546826,0.04289929213810771,0.06882069383331757,1,1
16,0.19809305667877197,0.007320932112634182,0.79,0.020666826107242797,0.07313442598833506,0,0,0,0,0.01486701963441847,0.014034100253183609,0.04203404555246566,0.08199773623207073,1,1
17,0.21302193403244019,0.008220266550779343,0.79,0.007997919741576126,0.08224485391358986,0,0,0,0,0.012929879101235924,0.0136462354584253,0.029365139186798988,0.09110816415732553,1,1
18,0.22900688648223877,0.008937832899391651,0.79,0.00031980349554809606,0.08015232657389826,1,0,1,0,0.0121039982823671,0.01112178574364053,0.021687022940770958,0.08901563681763393,1,1
19,0.2454226016998291,0.009523779153823853,0.79,-0.004771597982397652,0.0757241244019857,1,0,2,0,0.004001533948960881,0.011900740654222083,0.01659562146282521,0.08458743464572137,1,1
20,0.26128268241882324,0.009935805574059486,0.79,-0.009609689199241989,0.07642378107736637,1,0,2,0,0.014968630987661116,0.017233282945675048,0.011757530245980873,0.08528709132110204,0,1
21,0.275608092546463,0.010083716362714767,0.79,-0.013313273647290541,0.08314791326395563,1,0,2,0,0.020186786434486244,0.02383315844192915,0.00805394579793232,0.0920112235076913,0,1
22,0.288499116897583,0.009831108152866364,0.79,-0.016362122840938326,0.09234959171799119,1,0,2,0,0.02522260396419116,0.031715297627564885,0.005005096604284536,0.10121290196172686,0,1
23,0.29976215958595276,0.009468595497310162,0.79,-0.016139058213409843,0.09442164676421069,1,0,2,0,0.017485688510046817,0.04704027428896532,0.005228161231813019,0.10328495700794636,0,1
24,0.311025470495224,0.009040527045726776,0.79,-0.016474670261991065,0.09139673403401297,1,0,2,0,0.02473687062926676,0.046539215115987326,0.004892549183231797,0.10026004427774864,0,1
25,0.3219507038593292,0.008297042921185493,0.79,-0.01680474145705252,0.08033738822878514,1,0,2,0,0.023708370554918253,0.05274917839097511,0.004562477988170343,0.08920069847252081,0,1
26,0.33256691694259644,0.007409817073494196,0.79,-0.014678369976442673,0.06234792391245038,1,0,2,0,0.02268387412201589,0.05796254879834968,0.0066888494687801885,0.07121123415618605,0,1
27,0.34446126222610474,0.006764739286154509,0.79,-0.011143337996823988,0.03923532049741016,1,0,2,0,0.02442909490136491,0.06330462770503369,0.010223881448398874,0.04809863074114583,0,1
28,0.3531707525253296,0.004817575681954622,0.79,-0.009666202045259933,0.019612215913136485,1,0,2,0,0.010149345031205586,0.07761149821378258,0.011701017399962928,0.028475526156872155,0,1
29,0.3637624680995941,0.003323848359286785,0.79,-0.004546221058932945,0.006317139275156536,1,0,2,0,0.016373043341368552,0.06781003984133546,0.016820998386289917,0.015180449518892206,1,1
30,0.3745247423648834,0.002024633577093482,0.79,0.001421618596183838,0.0002921559345578917,1,1,1,2,0.007103497936549254,0.06851294883737452,0.0227888380414067,0.009155466178293561,1,0
31,0.38582438230514526,0.0007139998488128185,0.79,0.00866468914230678,-0.00023225396856739466,0,1,0,2,0.007769587387615157,0.058044986918476815,0.030031908587529643,0.008631056275168275,1,0
32,0.3980346918106079,-0.00023666355991736054,0.79,0.024375292337563956,0.0010053233146908522,0,1,0,2,0.022351983231607142,0.040260588610017016,0.04574251178278682,0.009868633558426522,1,0
33,0.410989373922348,-0.0014303468633443117,0.79,0.0376424144843748,0.001997794131381375,0,1,0,1,0.012309556311959778,0.02947173575348725,0.05900963392959767,0.010861104375117045,1,0
34,0.4241335690021515,-0.0029082593973726034,0.79,0.04864832022436423,0.02422882498453329,0,0,0,0,0.01141668025020586,0.0802265046474414,0.0700155396695871,0.03309213522826896,1,1
35,0.43815144896507263,-0.00384181528352201,0.79,0.05996789070915261,0.026157934410685278,0,0,0,0,0.010511772711078645,0.020577040626410588,0.08133511015437547,0.03502124465442095,1,1
36,0.45270586013793945,-0.005136247258633375,0.79,0.07054315091443895,0.005028798825530166,0,0,0,0,0.014367370807480467,0.045198969535183334,0.09191037035966182,0.013892109069265836,1,0
37,0.4680640995502472,-0.006515384651720524,0.79,0.07726923158361396,-0.0008104224128757387,0,1,0,2,0.013908507668916143,0.005802093121272143,0.09863645102883682,0.008052887830859931,1,0
38,0.4842877686023712,-0.007907447405159473,0.79,0.0712839239934103,-0.008490794121050832,0,1,0,2,0.013101427948421139,0.009180635256786262,0.09265114343863316,0.0003725161226848378,1,0
39,0.5004182457923889,-0.009477159008383751,0.79,0.06823322304840809,-0.009941957808718413,0,1,0,2,0.006291132061740732,0.007894666146236878,0.08960044249363096,-0.0010786475649827432,1,0
40,0.5154268741607666,-0.011457685381174088,0.79,0.06472264977483123,-0.00833403287132814,0,1,0,2,0.01910695911352945,0.011130524158260154,0.0860898692200541,0.00052927737240753,1,0
41,0.5291522741317749,-0.013085969723761082,0.79,0.06630872644642782,-0.007127220585581989,0,1,0,2,0.030100988922057918,0.016272735819994416,0.08767594589165069,0.0017360896581536805,1,0
42,0.5418636202812195,-0.014525339007377625,0.79,0.07129324265570255,-0.007369299192117082,0,1,0,2,0.044621611164524864,0.02166640895657832,0.09266046210092542,0.0014940110516185878,1,0
43,0.5539234280586243,-0.015370404347777367,0.79,0.08027100992922895,-0.0076011107291964475,0,1,0,2,0.04328907394662295,0.024854416916701493,0.10163822937445181,0.0012621995145392223,1,0
44,0.5655507445335388,-0.01598033867776394,0.79,0.07925992343189522,-0.008267559925957818,0,1,0,2,0.049296359078807986,0.024552668046021808,0.10062714287711809,0.0005957503177778517,1,0
45,0.5765573978424072,-0.01644331030547619,0.79,0.06342289161539852,-0.00935677972170279,0,1,0,2,0.057921254901128746,0.02125560030927497,0.08479011106062138,-0.0004934694779671206,1,0
46,0.5877822041511536,-0.016803082078695297,0.79,0.04005941772065033,-0.008276978576179483,0,1,0,2,0.06178492503168124,0.02224524404984363,0.061426637165873196,0.0005863316675561864,1,0
47,0.5984556078910828,-0.01682601496577263,0.79,0.011494240655787136,-0.006417121421199892,0,1,0,2,0.07390777331518728,0.013152313555984127,0.03286146010101,0.0024461888225357775,1,0
48,0.6093500256538391,-0.016575947403907776,0.79,-0.010712633933102372,-0.002073808284048087,1,1,2,1,0.07564303293786613,0.015111971214814352,0.01065458551212049,0.006789501959687583,0,0
49,0.6207520365715027,-0.015993015840649605,0.79,-0.021371055142979434,0.0015524139348446209,1,1,2,1,0.07417749694990594,0.025902560909588243,-3.835697756571915e-06,0.01041572417858029,0,0
50,0.632750928401947,-0.015309600159525871,0.79,-0.020047300876014418,0.01848886244570022,1,0,2,0,0.06381008863596034,0.021172300519002225,0.001319918569208444,0.02735217268943589,0,1
51,0.6453214883804321,-0.014980198815464973,0.79,-0.008005266440421557,0.031542703372388625,1,0,2,0,0.05831446125453822,0.01818673917741855,0.013361953004801305,0.040406013616124295,0,1
52,0.6584948301315308,-0.01467677392065525,0.79,0.010439904291164558,0.04439753974092296,0,0,0,0,0.04808742115125823,0.013920322146244394,0.031807123736387416,0.05326084998465863,1,1
53,0.6725111603736877,-0.014224737882614136,0.79,0.02320079254805113,0.05708484612342472,0,0,0,0,0.028569277462339244,0.01186580553861059,0.044568011993273995,0.0659481563671604,1,1
54,0.6871700882911682,-0.013961640186607838,0.79,0.01830222894289489,0.06926669201398748,0,0,0,0,0.010361325449169541,0.011564075291088848,0.039669448388117756,0.07813000225772315,1,1
55,0.7025695443153381,-0.01376041304320097,0.79,0.004637902212595621,0.07262223349636954,1,0,1,0,0.01037621096195744,0.010543161869485795,0.026005121657818483,0.0814855437401052,1,1
56,0.7190681099891663,-0.013246028684079647,0.79,-0.0038074125660888247,0.07546414099606799,1,0,2,0,0.011468024967408398,0.01763834783452422,0.017559806879134037,0.08432745123980366,1,1
57,0.7360693216323853,-0.012742015533149242,0.79,-0.01048330527121416,0.07157491516703537,1,0,2,0,0.004400941143720741,0.015006914659191625,0.010883914174008701,0.08043822541077104,0,1
58,0.7523704171180725,-0.012449455447494984,0.79,-0.012883207085589085,0.07396488762427601,1,0,2,0,0.0065284075605335935,0.021309539536772372,0.008484012359633777,0.08282819786801168,0,1
59,0.7671600580215454,-0.012057596817612648,0.79,-0.01646406239345591,0.0869971926931528,1,0,2,0,0.023054145454593417,0.023723367994373985,0.004903157051766954,0.09586050293688847,0,1
60,0.7803410291671753,-0.011570261791348457,0.79,-0.019163912352881354,0.09605162264195159,1,0,2,0,0.0261154559817193,0.03460755165922174,0.0022033070923415075,0.10491493288568726,0,1
61,0.7925360798835754,-0.011284580454230309,0.79,-0.019583641420545944,0.09975479565846809,1,0,2,0,0.028149996719292927,0.04234257995925635,0.0017835780246769177,0.10861810590220376,0,1
62,0.803948700428009,-0.01120568998157978,0.79,-0.019783048265109696,0.09252599459951914,1,0,2,0,0.023921608749640128,0.048233152842419816,0.0015841711801131662,0.10138930484325481,0,1
63,0.8149458765983582,-0.011066978797316551,0.79,-0.019092469015302718,0.0774908453423114,1,0,2,0,0.022497589631839135,0.05462625016929119,0.0022747504299201436,0.08635415558604707,0,1
64,0.82570880651474,-0.010944764129817486,0.79,-0.01654743443339808,0.05809022944973084,1,0,2,0,0.022855470227225012,0.059387290856174973,0.004819785011824781,0.06695353969346651,0,1
65,0.8363737463951111,-0.011053401976823807,0.79,-0.012090937702911891,0.03473554383755856,1,0,2,0,0.020161728332421466,0.06745725990019473,0.00927628174231097,0.04359885408129423,0,1
66,0.8466430902481079,-0.011468601413071156,0.79,-0.007136544402951944,0.01583070008878898,1,0,2,0,0.013497018193698909,0.07687287081925374,0.014230675042270918,0.02469401033252465,0,1
67,0.8577670454978943,-0.012106821872293949,0.79,-0.00016746127022516932,0.0036545558748672657,1,1,1,1,0.012541965700039957,0.07415407703612464,0.021199758174997693,0.012517866118602936,1,0
68,0.8691402673721313,-0.012462045066058636,0.79,0.015062992851770415,-0.0027845361013901088,0,1,0,2,0.023740514508984133,0.0652176813669525,0.03643021229699328,0.006078774142345561,1,0
69,0.8805601000785828,-0.013078995980322361,0.79,0.02515692279640408,-0.0012315765825534758,0,1,0,2,0.006351734080826613,0.05901845290936218,0.046524142241626945,0.007631733661182194,1,0
70,0.8931283354759216,-0.013457500375807285,0.79,0.03284123971842422,-0.000591824484905773,0,1,0,2,0.010638798616370796,0.0403144408851077,0.05420845916364708,0.008271485758829897,1,0
71,0.9058674573898315,-0.013788934797048569,0.79,0.04188172020335426,0.023941709972268223,0,0,0,0,0.01011177548699098,0.09425696535221409,0.06324893964857713,0.03280502021600389,1,1
72,0.9192294478416443,-0.014349976554512978,0.79,0.052961859913964196,0.02904432477324128,0,0,0,0,0.01142794929293119,0.03079899664402961,0.07432907935918706,0.03790763501697695,1,1
73,0.9334318041801453,-0.01463919598609209,0.79,0.06424069033266863,0.007215967198903675,0,0,0,0,0.015577638100755211,0.053473696384663434,0.0856079097778915,0.016079277442639345,1,1
74,0.9485959410667419,-0.014907080680131912,0.79,0.07244786489851295,0.01048615623121571,0,0,0,0,0.017878753484125758,0.009566046031870092,0.09381508434373581,0.01934946647495138,1,1
75,0.9644046425819397,-0.01476202066987753,0.79,0.07880005975162349,0.004667682166554998,0,1,0,1,0.015475939775872487,0.0051359093070832956,0.10016727919684636,0.013530992410290668,1,0
76,0.9807166457176208,-0.014679674990475178,0.79,0.06865830156990131,-0.0013882095512677967,0,1,0,2,0.013890728791859831,0.003302471494911664,0.09002552101512418,0.007475100692467873,1,0
77,0.9965727925300598,-0.014628260396420956,0.79,0.06301981987466684,-0.004584980615673445,0,1,0,2,0.011417843319379967,0.011374872393395368,0.08438703931988971,0.004278329628062225,1,0
78,1.011489748954773,-0.014915086328983307,0.79,0.06335377498139053,-0.004928180777221264,0,1,0,2,0.018596466682118583,0.02018495664334278,0.08472099442661339,0.003935129466514406,1,0
79,1.0248925685882568,-0.015521818771958351,0.79,0.06320476966837124,-0.005542169635613409,0,1,0,2,0.03948305358514531,0.02093225531537649,0.0845719891135941,0.003321140608122261,1,0
80,1.037577509880066,-0.015777993947267532,0.79,0.06825555630847965,-0.006787165257741923,0,1,0,2,0.04823163209323942,0.022765435697863164,0.08962277575370252,0.002076144985993747,1,0
81,1.0494006872177124,-0.01610955409705639,0.79,0.0734365883697069,-0.008562251840491017,0,1,0,2,0.046804780891893674,0.024214801543534826,0.09480380781492977,0.00030105840324465283,1,0
82,1.061008095741272,-0.01610199362039566,0.79,0.06561544977242784,-0.009941408292420115,0,1,0,2,0.05323475298557044,0.024427951110027747,0.0869826692176507,-0.001078098048684445,1,0
83,1.072242259979248,-0.015853384509682655,0.79,0.045429129799407775,-0.010790653491869487,0,1,0,2,0.06044340589692926,0.019180018767634144,0.06679634924463064,-0.001927343248133817,1,0
84,1.0830211639404297,-0.015712592750787735,0.79,0.018918710599400368,-0.010698547494016455,0,1,0,2,0.07053784559932604,0.013971381233116895,0.04028593004462323,-0.0018352372502807857,1,0
85,1.0938408374786377,-0.015054571442306042,0.79,-0.004962435110420951,-0.009083524506302482,1,1,2,2,0.0750036700732849,0.016733725110772254,0.01640478433480191,-0.00022021426256681187,1,0
86,1.1048275232315063,-0.014207476750016212,0.79,-0.01945894611341073,-0.0031229688412670736,1,1,2,2,0.07962742026972791,0.012108281306823903,0.0019082733318121319,0.005740341402468596,0,0
87,1.1163485050201416,-0.013232204131782055,0.79,-0.02088874853165769,0.007004045979907003,1,0,2,0,0.07167206825060302,0.025953638526347304,0.0004784709135651731,0.015867356223642673,0,1
88,1.1287204027175903,-0.012370988726615906,0.79,-0.009887154382634489,0.020673123489895973,1,0,2,0,0.06400587111472632,0.020984960391523217,0.011480065062588373,0.029536433733631642,0,1
89,1.1420260667800903,-0.01136880274862051,0.79,0.00861359432408243,0.0354302699101897,0,0,0,0,0.047464391740369906,0.025349748060661488,0.02998081376930529,0.04429358015392537,1,1
90,1.1557284593582153,-0.010360135696828365,0.79,0.025333932455877936,0.050358786392827454,0,0,0,0,0.03452664011441785,0.019508766248168545,0.0467011519011008,0.059222096636563124,1,1
91,1.1699246168136597,-0.009595540352165699,0.79,0.02934686765555291,0.06516977170541768,0,0,0,0,0.019865198894250275,0.015480958230217556,0.05071408710077577,0.07403308194915335,1,1
92,1.1850268840789795,-0.008911238051950932,0.79,0.018433478486276064,0.07737340406942886,0,0,0,0,0.003977389726515534,0.01553960229197238,0.03980069793149893,0.08623671431316453,1,1
93,1.2013022899627686,-0.008343547582626343,0.79,0.0068125898210769364,0.08032563142740812,0,0,0,0,0.008284282146322744,0.013301140631431882,0.0281798092662998,0.08918894167114379,1,1
94,1.2184174060821533,-0.00784254539757967,0.79,-0.002801871815902107,0.08061377825758939,1,0,2,0,0.005578002452356526,0.015021994441797857,0.018565347629320755,0.08947708850132506,1,1
95,1.2357966899871826,-0.007136168424040079,0.79,-0.011974023574205864,0.07299682056102177,1,0,2,0,0.0068915150099412275,0.021391990962167446,0.009393195871016998,0.08186013080475744,0,1
96,1.2519714832305908,-0.006643893197178841,0.79,-0.016115283128057975,0.07746650954939195,1,0,2,0,0.009117554674269076,0.027254298193494734,0.005251936317164887,0.08632981979312762,0,1
97,1.2667306661605835,-0.006286377087235451,0.79,-0.019162035115638326,0.09155427822015501,1,0,2,0,0.021268974584378153,0.0238176192670431,0.0022051843295845357,0.10041758846389068,0,1
98,1.279720425605774,-0.005909659434109926,0.79,-0.02028317594922073,0.0982641570865863,1,0,2,0,0.025201965372152958,0.03673196167907133,0.0010840434960021315,0.10712746733032197,0,1
99,1.2922372817993164,-0.005864560604095459,0.79,-0.019673907250684422,0.09828651787472575,1,0,2,0,0.026131454043560876,0.04305672284346817,0.0016933121945384398,0.10714982811846142,0,1
100,1.304168939590454,-0.005855600815266371,0.79,-0.019196308737818524,0.08826428735221123,1,0,2,0,0.022110870673182244,0.052089815663307434,0.002170910707404338,0.0971275975959469,0,1
101,1.3154616355895996,-0.0061005884781479836,0.79,-0.018069260446383545,0.0717503247539066,1,0,2,0,0.02241990053991279,0.05610020004719976,0.003297958998839317,0.08061363499764226,0,1
102,1.326767921447754,-0.006112461443990469,0.79,-0.014506122646311542,0.050381706995531586,1,0,2,0,0.022291870639300583,0.06051561258295645,0.00686109679891132,0.059245017239267256,0,1
103,1.3375751972198486,-0.006390818394720554,0.79,-0.00907192462371545,0.029512704019422936,1,0,2,0,0.016172972700292235,0.06906079982391125,0.012295294821507412,0.038376014263158606,0,1
104,1.3485103845596313,-0.0068100509233772755,0.79,-0.003163703463116882,0.01258121831908017,1,0,1,0,0.012562656049465189,0.0730399703454295,0.01820351598210598,0.02144452856281584,1,1
105,1.359773874282837,-0.007274031639099121,0.79,0.005276982473992109,0.0015631279666887266,0,1,0,1,0.009427122847201543,0.07252898381494458,0.02664420191921497,0.010426438210424396,1,0
106,1.3714925050735474,-0.007978794164955616,0.79,0.01683334505987695,-0.001424490080190688,0,1,0,2,0.018285273309765274,0.06665658847528173,0.038200564505099815,0.007438820163544982,1,0
107,1.3837850093841553,-0.008658464066684246,0.79,0.02373133027832673,0.003356239234391073,0,1,0,1,0.007608297841092533,0.05869639763221849,0.0450985497235496,0.012219549478126743,1,0
108,1.3966444730758667,-0.009175603277981281,0.79,0.03140064147535361,0.006949892620745919,0,0,0,0,0.008472479767579661,0.0435668282329202,0.052767860920576476,0.01581320286448159,1,1
109,1.4103494882583618,-0.009790094569325447,0.79,0.03933670254504981,0.028003321154730733,0,0,0,0,0.008176517937190849,0.09795699699378853,0.06070392199027268,0.0368666313984664,1,1
110,1.424484372138977,-0.010338599793612957,0.79,0.049350468726561916,0.0319573186637353,0,0,0,0,0.00943521645707518,0.03269773300598254,0.07071768817178478,0.04082062890747097,1,1
111,1.4392963647842407,-0.01068587601184845,0.79,0.06177518672202935,0.03366578310166141,0,0,0,0,0.016157317171697067,0.01637861657515595,0.08314240616725221,0.04252909334539708,1,1
112,1.455500602722168,-0.010854337364435196,0.79,0.07112875761642252,0.014855014281997855,0,0,0,0,0.019365846776306334,0.06608071385711119,0.09249597706164539,0.023718324525733525,1,1
113,1.4718492031097412,-0.010986458510160446,0.79,0.064671183910696,0.008017876166521942,0,0,0,0,0.014729129738272628,0.0073219162730454364,0.08603840335591886,0.016881186410257612,1,1
114,1.4885318279266357,-0.010975539684295654,0.79,0.056481963765596416,-0.0008817782557399984,0,1,0,2,0.008066121936181204,0.011532188491032621,0.07784918321081928,0.007981531987995671,1,0
115,1.5047069787979126,-0.011068105697631836,0.79,0.05476784354119939,-0.006002337264714344,0,1,0,2,0.012759006913359192,0.01259641385460257,0.07613506298642225,0.0028609729790213256,1,0
116,1.5201787948608398,-0.011334926821291447,0.79,0.05898386846727924,-0.006860488061729855,0,1,0,2,0.01938080945322945,0.018936265906963602,0.0803510879125021,0.0020028221820058145,1,0
117,1.5342302322387695,-0.011912686750292778,0.79,0.060254215338932965,-0.006779990362334329,0,1,0,2,0.04116103417517982,0.019207241032186538,0.08162143478415583,0.002083319881401341,1,0
118,1.547469139099121,-0.0126129649579525,0.79,0.06421636645956749,-0.009085623261299483,0,1,0,2,0.04306138667033438,0.02402933922693531,0.08558358590479036,-0.00022231301756381328,1,0
119,1.5603967905044556,-0.012914134189486504,0.79,0.060488498947794955,-0.011752074568568707,0,1,0,2,0.04764418999533851,0.025695672731374734,0.08185571839301782,-0.0028887643248330375,1,0
120,1.5724682807922363,-0.013154411688446999,0.79,0.04573873472023826,-0.013640369177755879,0,1,0,2,0.05575013955377303,0.024174296010262483,0.06710595416546113,-0.004777058934020209,1,0
121,1.5839234590530396,-0.01303835865110159,0.79,0.02049814372978652,-0.01385656562838447,0,1,0,2,0.06670613941335757,0.014919448287979344,0.041865363175009385,-0.004993255384648801,1,0
122,1.5953096151351929,-0.01269750390201807,0.79,-0.003727460315880421,-0.01225721233979049,1,1,2,2,0.07278555004070637,0.015228414038082214,0.01763975912934244,-0.003393902096054821,1,0
123,1.60692298412323,-0.012251987121999264,0.79,-0.02115382175936982,-0.008630698987304286,1,1,2,2,0.07313288290915682,0.014444343006515054,0.0002133976858530416,0.0002326112564313837,0,0
124,1.6186156272888184,-0.011353755369782448,0.79,-0.0279869129290905,-0.003179761109726509,1,1,2,2,0.07122088015089784,0.016570994854070747,-0.00661969348386764,0.005683549134009161,0,0
