step,base_x,base_y,base_z,up_z,vx,left_z,right_z,left_contact,right_contact,left_contact_count,right_contact_count,contact_state,left_slip_speed,right_slip_speed,action_mean_abs,reward,terminated,truncated
0,0.00031443482073666303,4.20878836021716e-05,0.7916101179601793,0.9999999669767302,0.0038381812322516896,0.004691147966281402,0.004691147966281402,1,1,8,8,both,0.000739632190868955,0.0006654188024875288,0.18165035545825958,3.0898306991473685,0,0
1,0.0006837058703473516,0.0001940079160413279,0.7916042736658382,0.999998893824456,0.010860913223843782,0.00466112540894657,0.00466112540894657,1,1,8,8,both,0.0010332734801279072,0.0009773035682551507,0.16644242405891418,3.0986655598101254,0,0
2,0.0013869680973170049,0.0005081028159230202,0.791598697114264,0.9999937997110943,0.02068418314616627,0.004628874046943121,0.004628874046943121,1,1,8,8,both,0.0013148515528645503,0.0012544815868748402,0.1758979856967926,3.108874834082829,0,0
3,0.0025030835540338615,0.0010152349119907614,0.7915957620948717,0.999979382007445,0.032826925197554604,0.0045992349947682615,0.0045992349947682615,1,1,7,7,both,0.0015469069178575667,0.0014209097770965246,0.17986305058002472,3.1183715140148696,0,0
4,0.004094062266278148,0.0017173469581958567,0.7915951523546114,0.9999473883765584,0.046793491536596656,0.00457067385055996,0.00457067385055996,1,1,7,7,both,0.002127726887348077,0.0019082931673049,0.18648140132427216,3.1248790473468966,0,0
5,0.006202833710810374,0.0025934546074425266,0.7915834618171006,0.9998864623067532,0.062022689545065464,0.00453885974733801,0.00453885974733801,1,1,6,6,both,0.002551378572567025,0.0022624876719261125,0.19241555035114288,3.1266558163956537,0,0
6,0.008858287072300478,0.0036196243025426776,0.7915555865855304,0.9997824501847854,0.07810156945559128,0.00450937441686548,0.00450937441686548,1,1,6,6,both,0.002787055895925986,0.0024585623449266186,0.19746606051921844,3.122704997220943,0,0
7,0.012067366127374624,0.0047600526864509645,0.7915148349985507,0.9996186744462262,0.09438467809041608,0.004489249162972098,0.004489249162972098,1,1,6,6,both,0.002809996064541596,0.0024614601014288384,0.20126429200172424,3.112983583435639,0,0
8,0.01580649248640468,0.005959526549627901,0.7914438816297992,0.9993762107052743,0.10997430467735454,0.0044729305606877115,0.0044729305606877115,1,1,6,6,both,0.0023888003754059515,0.0021338915116275265,0.2030036598443985,3.0987688081735048,0,0
9,0.02004148379984462,0.007181655986704017,0.7913470409674366,0.9990377064044222,0.1245585680423512,0.0044733713522118815,0.0044733713522118815,1,1,5,5,both,0.0021428808041280773,0.002019064485924122,0.20228128135204315,3.081633872051598,0,0
10,0.024721874838153985,0.008432735993320126,0.7912188959480688,0.9985881900069555,0.13765855995027543,0.004489764943927471,0.004489764943927471,1,1,4,4,both,0.0022536894153255154,0.002037104350386407,0.20011943578720093,3.063462577459366,0,0
11,0.029771069015961334,0.009709936844181496,0.7910450238757541,0.9980160044298919,0.14850571111198083,0.004515161810362624,0.004515161810362624,1,1,4,4,both,0.0022026880073785357,0.0018713785421269325,0.19580326974391937,3.046591743087612,0,0
12,0.03509565476885931,0.010996339507620884,0.7908231136196259,0.9973166998525869,0.1566054633205288,0.004546480936553406,0.004546480936553406,1,1,4,4,both,0.0019170281688249008,0.0014794488285543765,0.1903885304927826,3.0328113066284854,0,0
13,0.04059006094781056,0.012263148348687346,0.7905491307239527,0.9964935990614602,0.1616001817338603,0.0045837941129203,0.0045837941129203,1,1,4,4,both,0.001622077655374341,0.0010559137487932272,0.1851821392774582,3.02334709410097,0,0
14,0.04613600304353936,0.013478383657490357,0.7902281406459021,0.9955593005109244,0.16311594399202345,0.004554608728451773,0.004554608728451773,1,1,4,4,both,0.0014764678056517196,0.0008024740182723946,0.179078608751297,3.0192067765308273,0,0
15,0.05160892194720912,0.014610800188512667,0.7898694556962924,0.994536537149908,0.1609682030491105,0.004522624156070108,0.004522624156070108,1,1,4,4,both,0.0015547863955704528,0.0009542611059721634,0.17181062698364258,3.0208315650201905,0,0
16,0.05688106437867592,0.01563142521182258,0.7894862955765548,0.9934580695915352,0.1550630126902,0.0044934346102085375,0.0044934346102085375,1,1,4,4,both,0.0018234024450934378,0.0013897222011844971,0.16540946066379547,3.0282476731600814,0,0
17,0.06182683587349863,0.016515599237309803,0.7890946562488075,0.9923647020987741,0.14546386749478565,0.004467585058173962,0.004467585058173962,1,1,4,4,both,0.0021824301886689728,0.0018890394025071495,0.15899233520030975,3.040904238460739,0,0
18,0.06632627578148217,0.017243857692837566,0.7887130301522802,0.9913032118457256,0.13233646788186892,0.004444445123422673,0.004444445123422673,1,1,4,4,both,0.0025718668975870623,0.0023826373925299057,0.1514042317867279,3.057532951979103,0,0
19,0.07026921327441941,0.017809557892302638,0.7883705086865461,0.9903255385329217,0.11596874979227176,0.00442581004446134,0.00442581004446134,1,1,4,4,both,0.0032338936590056966,0.0032539085315929066,0.1430707424879074,3.0758695270300387,0,0
20,0.07357225432576027,0.01823747441545304,0.7881027171394872,0.9894877577772266,0.09714826621590748,0.004409959630703633,0.004409959630703633,1,1,3,3,both,0.004460943068049847,0.0047828531054534265,0.13911323249340057,3.0922589695238454,0,0
21,0.07618705733774411,0.018575226509890568,0.7879436112194731,0.9888354222973886,0.07690597094070127,0.0043994221480721865,0.0043994221480721865,1,1,3,3,both,0.005263659249487887,0.00552676385220432,0.14119240641593933,3.1028638277275147,0,0
22,0.07809933837172257,0.018856343250375225,0.78786262770011,0.9883853420048446,0.0562435598228959,0.004391765972097367,0.004391765972097367,1,1,2,2,both,0.0054497912783555025,0.0054402811479861805,0.1480695754289627,3.104957056131722,0,0
23,0.07929867377507076,0.01909300507792744,0.7878199679468071,0.9881211144622465,0.03527457068671129,0.004390493784890467,0.004390493784890467,1,1,2,2,both,0.005167645035578044,0.0049880891137573284,0.15395115315914154,3.097255091671686,0,0
24,0.07978659531841278,0.01928167775112557,0.7877735780798387,0.9880354718551471,0.014350633627706659,0.004388447738302985,0.004388447738302985,1,1,2,2,both,0.004712638238278116,0.004573105079234448,0.1602645069360733,3.0793885413934254,0,0
25,0.07957815223111289,0.01940036121743117,0.7877291066543545,0.9881204390913109,-0.0061306790382321215,0.004399166718156801,0.004399166718156801,1,1,3,3,both,0.003996979853682788,0.004031829930574543,0.16728022694587708,3.052200577282882,0,0
26,0.07875807887521495,0.019390947879595926,0.7877834295323595,0.9883838184795082,-0.024119804585233547,0.004413956726834041,0.004413956726834041,1,1,4,4,both,0.003650771631699803,0.0038113735226900447,0.17615729570388794,3.019870405171857,0,0
27,0.07739848680073576,0.019226013992816083,0.787870573961353,0.9887993440583343,-0.03998800219056451,0.004417235996555587,0.004417235996555587,1,1,4,4,both,0.0034104378917788744,0.0035793033279336623,0.18249164521694183,2.98515881338226,0,0
28,0.0755553133612936,0.018873879270478674,0.7879557021226155,0.9893299640796562,-0.05421098351300449,0.0044256813341636975,0.0044256813341636975,1,1,5,5,both,0.0035416428422599135,0.0038021879757031106,0.18518516421318054,2.94972170468599,0,0
29,0.07334601232250162,0.018360289267656746,0.7881692259872108,0.9899627178911217,-0.06497944231741118,0.004454197786395393,0.004454197786395393,1,1,5,5,both,0.0010518047651339147,0.0011849247237237831,0.18628749251365662,2.9207688113006975,0,0
30,0.07090602753961542,0.017792967924939354,0.7884148342127949,0.9906723006340443,-0.07176425832018254,0.0044597973856904324,0.0044597973856904324,1,1,5,5,both,0.000658405109708251,0.0007999033307968225,0.18648003041744232,2.902081566757307,0,0
31,0.0683377427926541,0.017241335148291195,0.7886650621443722,0.9914048505178651,-0.07553778667533283,0.00447768592267421,0.00447768592267421,1,1,6,6,both,0.0002802747224499898,0.0002968543841463515,0.18502236902713776,2.8919953016950415,0,0
32,0.0657424394436876,0.01673543539440715,0.7889173527522296,0.9921265170409452,-0.07633245144019123,0.0044985132627277935,0.0044985132627277935,1,1,6,6,both,0.0004321657661502744,0.00040937463324529117,0.18215343356132507,2.8908796031599575,0,0
33,0.06322102914361102,0.016286285510537256,0.7891499804781694,0.9928113926054641,-0.07415912647284048,0.0045155973072835975,0.0045155973072835975,1,1,6,6,both,0.000818676576904321,0.0007900252192189324,0.17809553444385529,2.898758227010866,0,0
34,0.060863663376692294,0.015908206408867476,0.7893583207183489,0.9934391189832286,-0.06933428726231558,0.004532425375010467,0.004532425375010467,1,1,6,6,both,0.0011188144858777897,0.0010896070898524523,0.17299263179302216,2.9143664180654563,0,0
35,0.05874836118237301,0.015603101940733851,0.7895385081402231,0.993997174878504,-0.062214770421155356,0.004548993613077208,0.004548993613077208,1,1,6,6,both,0.0013426113374905874,0.0013229545582087833,0.16677424311637878,2.936045477047626,0,0
36,0.05693954399398424,0.015361745096251277,0.7896878308605182,0.9944786074486183,-0.05320050554084629,0.00456425133001985,0.00456425133001985,1,1,6,6,both,0.001512457709845774,0.0015032013351712118,0.15848907828330994,2.961822241858739,0,0
37,0.05548410566093078,0.015167694233710834,0.7898049596751431,0.994881058224397,-0.04280700979568988,0.004577089381213432,0.004577089381213432,1,1,6,6,both,0.001612520544478705,0.0016139732547484301,0.1481296867132187,2.9893332014251515,0,0
38,0.0544115294407562,0.014999823937837524,0.789889604818845,0.9952056999442153,-0.03154635941689937,0.004586716071659586,0.004586716071659586,1,1,6,6,both,0.0016328605307991662,0.001641651121458141,0.141111820936203,3.016338077171164,0,0
39,0.05373870033313584,0.014836955802604135,0.7899420123862164,0.9954547450585048,-0.019789091400598934,0.004593357905523336,0.004593357905523336,1,1,6,6,both,0.0016268603339723926,0.0016426002440361686,0.13790492713451385,3.0412405703679526,0,0
40,0.05346948623787827,0.014662702145887292,0.7899628579389983,0.9956301260878575,-0.007918061625222631,0.004597032183500983,0.004597032183500983,1,1,6,6,both,0.001604507341277667,0.0016286289809004917,0.13756170868873596,3.0627595528912077,0,0
41,0.0535967400031456,0.014467891312835702,0.7899532990747941,0.9957340045950448,0.003742757801980278,0.004597372552164879,0.004597372552164879,1,1,6,6,both,0.0015484806118447067,0.001582357768390989,0.13927075266838074,3.0801890412846245,0,0
42,0.0541029906152374,0.014250237322138374,0.7899150245748249,0.9957690984063475,0.014889723885052959,0.004594495904845161,0.004594495904845161,1,1,6,6,both,0.001432308919660655,0.0014785165560621952,0.1419476568698883,3.093725673589327,0,0
43,0.054963021866306055,0.014013517689465665,0.7898495976243456,0.9957383033370623,0.025295036796136944,0.004588517463045061,0.004588517463045061,1,1,6,6,both,0.0013048685121996575,0.0013625252263171526,0.14464925229549408,3.103644741544508,0,0
44,0.0561413888287353,0.013766084862611385,0.7897588584408696,0.9956459957555562,0.03465785183615434,0.004579334046598011,0.004579334046598011,1,1,6,6,both,0.001143929894598518,0.001211708466367678,0.14662331342697144,3.1102663220407756,0,0
45,0.05759509037077159,0.013518394991437643,0.7896447798945516,0.9954977993785448,0.042755927706949574,0.004567401310647923,0.004567401310647923,1,1,6,6,both,0.0009712901788585074,0.0010465496582900678,0.14972782135009766,3.1141932276266076,0,0
46,0.059276872381069184,0.013280904766151807,0.7895094411085111,0.9952982125687874,0.0494641767734587,0.004554344431149625,0.004554344431149625,1,1,6,6,both,0.0008098297778345634,0.0008903054241418653,0.15250425040721893,3.1161417759862915,0,0
47,0.06113916374241663,0.013061541168575188,0.7893545377136003,0.9950519393503147,0.05477327533374844,0.004541629583491712,0.004541629583491712,1,1,6,6,both,0.0006692511472233196,0.0007485478899657304,0.15287448465824127,3.1167931883099103,0,0
48,0.06313489437191803,0.012863376930799128,0.7891824128943107,0.9947654861456261,0.058697959691217744,0.004529865562215015,0.004529865562215015,1,1,6,6,both,0.0004997775310980921,0.0005706762391853658,0.15103498101234436,3.1166934587107096,0,0
49,0.06521705417679309,0.012683722012288031,0.7889963271259833,0.994446436871473,0.06123999426103104,0.004519072416508119,0.004519072416508119,1,1,6,6,both,0.0003326213876493446,0.00037692137281581533,0.14727328717708588,3.116238828070565,0,0
50,0.06733484536810191,0.01251324842554782,0.7888003556336786,0.9941003146276596,0.0622879762149654,0.0045092616834136005,0.0045092616834136005,1,1,6,6,both,0.00025555429975639626,0.0002168434020684817,0.1423155814409256,3.115684975423199,0,0
51,0.06943600203951054,0.01233947756499605,0.7885987579947003,0.9937340828224943,0.06179872562966558,0.00449970249935467,0.00449970249935467,1,1,6,6,both,0.0003411893020689456,0.00020637970037973026,0.13700690865516663,3.1151555043882877,0,0
52,0.07146920570447868,0.012149300087339176,0.7883964277612839,0.9933570441584867,0.05980010779318039,0.004490212229867018,0.004490212229867018,1,1,6,6,both,0.0005130390427511881,0.00036497367165256065,0.13202467560768127,3.1146137039887187,0,0
53,0.07338138513111617,0.011931136580406213,0.7881991214256906,0.9929801375791532,0.056240571371690855,0.00448092096053352,0.00448092096053352,1,1,6,6,both,0.0007066633103981159,0.000563853633831558,0.1278049647808075,3.1138613912393667,0,0
54,0.07512323980388454,0.011675732928249322,0.788012626969828,0.9926147147300658,0.05123101978730499,0.004471882612372705,0.004471882612372705,1,1,6,6,both,0.0009045230717461084,0.0007710503988236007,0.12357626110315323,3.1125535471607817,0,0
55,0.07665021206687576,0.011376901429549122,0.7878426300290412,0.9922726514371241,0.04491094891150669,0.0044634569374321365,0.0044634569374321365,1,1,6,6,both,0.001083925286548381,0.0009606898224177753,0.11952091753482819,3.1102421234400373,0,0
56,0.07792651045722618,0.011031888231130502,0.7876941081009194,0.9919665944766438,0.037538187951482754,0.00445601570082323,0.00445601570082323,1,1,6,6,both,0.0012534315414104613,0.0011406556034193472,0.11598804593086243,3.1064872232773344,0,0
57,0.07892931481309588,0.010641626346294607,0.7875706061513256,0.9917074891158105,0.029494245760873665,0.004449889893470643,0.004449889893470643,1,1,6,6,both,0.001383228132643529,0.0012816012957714202,0.11499858647584915,3.101022918576377,0,0
