preload_amp,ankle_bias,lift_hold_end,steps,reason,right_clearance,left_clearance,right_air_steps,right_air_streak,first_air_step,last_air_step,right_force_min,right_force_ratio,min_up_z,max_root_ang_vel,support_slip,initial_gap,max_gap,gap_at_landing_end,gap_at_end,gap_end_delta,final_x,final_y,final_x_velocity,final_y_velocity
0.036,-0.08,0.64,520,max_steps,0.03219908523381007,0.00387832960546787,35,33,285,322,0.0,0.0,0.9937777936540703,0.3424224384599053,0.030538373573635456,0.23701291,0.374058442611488,0.374058442611488,0.374058442611488,0.13704553261148802,0.07853103528185061,-0.013642205790755748,0.03942431991444745,-0.047196007005968266
0.036,-0.08,0.66,520,max_steps,0.03219908523381007,0.00387832960546787,35,33,285,322,0.0,0.0,0.9936784916798356,0.3424224384599053,0.03419413750659503,0.23701291,0.3742463447162082,0.3742463447162082,0.3742463447162082,0.13723343471620822,0.07928997615375787,-0.013982052332522013,0.042809599567924274,-0.04719879478083882
0.036,-0.08,0.68,520,max_steps,0.03219908523381007,0.00387832960546787,35,33,285,322,0.0,0.0,0.993605785986113,0.3424224384599053,0.036209512803298136,0.23701291,0.37430900613338874,0.37430900613338874,0.37430900613338874,0.13729609613338875,0.07994813642935439,-0.014135933669154235,0.04748325899878518,-0.04522484644911864
0.036,-0.075,0.64,520,max_steps,0.03176738990461353,0.0038373286837326687,34,31,286,321,0.0,0.0,0.9934135236810148,0.33403895571993875,0.033090692181433956,0.23701291,0.37127534169532034,0.37122008653091537,0.37122008653091537,0.13420717653091538,0.08157369865547723,-0.016457686026937684,0.04154663294510724,-0.054694963381285266
0.036,-0.075,0.66,520,max_steps,0.03176738990461353,0.0038373286837326687,34,31,286,321,0.0,0.0,0.9932976212340555,0.33403895571993875,0.035161995586521035,0.23701291,0.3713128591130288,0.37124776581957963,0.37124776581957963,0.13423485581957964,0.08248709941589466,-0.016584796734192907,0.045753300587566964,-0.0535428389486832
0.036,-0.075,0.68,520,max_steps,0.03176738990461353,0.0038373286837326687,34,31,286,321,0.0,0.0,0.9931567230496384,0.33403895571993875,0.039245230521546264,0.23701291,0.37135237824180045,0.3712721266755477,0.3712721266755477,0.13425921667554772,0.0835311043674832,-0.01673273546102184,0.05105752261423174,-0.05211999312436998
0.036,-0.07,0.64,520,max_steps,0.031096832696719354,0.0037908732105318144,30,27,288,320,0.0,0.0,0.9934703041355085,0.32093343978101535,0.03342269689676072,0.23701291,0.3689231746402154,0.36875795555337265,0.36875795555337265,0.13174504555337266,0.08210638314860429,-0.013989966042188684,0.04389926134151288,-0.05228560879603418
0.036,-0.07,0.66,520,max_steps,0.031096832696719354,0.0037908732105318144,30,27,288,320,0.0,0.0,0.9933733027664876,0.32093343978101535,0.03346404931206723,0.23701291,0.3691488307106905,0.3690459081121232,0.3690459081121232,0.13203299811212318,0.08270717474431283,-0.014329766063221179,0.04691869117019948,-0.05329005077549199
0.036,-0.07,0.68,520,max_steps,0.031096832696719354,0.0037908732105318144,30,27,288,320,0.0,0.0,0.9932827790678119,0.32093343978101535,0.037658625434575786,0.23701291,0.3693810920660284,0.3692940310479692,0.3692940310479692,0.1322811210479692,0.08332365146086348,-0.014656328867807772,0.050962801742247425,-0.05342745919637675
0.038,-0.08,0.64,520,max_steps,0.033736207456039335,0.003948844228675266,37,36,286,325,0.0,0.0,0.9944755002489833,0.33662334448103054,0.027057649626433884,0.23701291,0.38906861808410204,0.38906861808410204,0.38906861808410204,0.15205570808410204,0.06752018527221842,-0.014275905308513966,0.028229864134621346,-0.03646347440227734
