right_y_offset,y_ik_gain,steps,reason,right_clearance,right_air_steps,right_air_streak,first_air_step,last_air_step,right_force_min,right_force_ratio,min_up_z,support_slip,max_root_ang_vel,right_y0,left_y0,right_y_end,left_y_end,initial_gap,max_gap,final_gap,gap_delta,final_x,final_y,final_x_velocity,final_y_velocity
-0.04,0.25,520,max_steps,0.03311654283740542,33,31,289,323,0.0,0.0,0.989229979774895,0.041749270198017475,0.3165244469078122,-0.118506455,0.118506455,-0.2270148593637285,0.13337550791227357,0.23701291,0.36125146544461895,0.36039036727600204,0.12337745727600205,0.11346662817478338,-0.0293600112086174,0.10707195039824355,-0.10141107154458598
-0.02,0.25,520,max_steps,0.030257352044409394,25,22,288,316,0.0,0.0,0.9851769530313285,0.0413690789615678,0.32472422909317056,-0.118506455,0.118506455,-0.2081280434413156,0.1333019879985094,0.23701291,0.342026462594105,0.341430031439825,0.10441712143982498,0.13318077807639034,-0.03064378139989009,0.1764063173177964,-0.1390161145135875
0.0,0.25,520,max_steps,0.028580390191305857,15,13,288,306,0.0,0.0,0.9742196582824465,0.03808326778488326,0.43315025411288227,-0.118506455,0.118506455,-0.1910146610038047,0.1310439039886951,0.23701291,0.32248989927473876,0.3220585649924998,0.0850456549924998,0.17200326310749023,-0.05324597962980924,0.30335736520970735,-0.22822130740547977
0.02,0.25,520,max_steps,0.02794670266185295,6,4,290,298,0.0,0.0,0.9321241228418488,0.04377331098419427,0.9524620533768375,-0.118506455,0.118506455,-0.17992147403482248,0.12297705738651399,0.23701291,0.30441539574103416,0.3028985314213365,0.0658856214213365,0.2725170487210087,-0.11536303460980468,0.5981644722589752,-0.40762131577571264
0.04,0.25,520,max_steps,0.02791279177604976,6,4,290,298,0.0,0.0,0.88139316336896,0.07420324458258304,1.3779450662157517,-0.118506455,0.118506455,-0.17691608513780396,0.11943789726015891,0.23701291,0.29783305229544843,0.29635398239796285,0.05934107239796285,0.34849881330467697,-0.16310376175043453,0.7990854275343325,-0.5372851147194805
-0.04,0.45,520,max_steps,0.03403938257389981,34,31,287,323,0.0,0.0,0.9813251058236014,0.042690158204215206,0.3175833849961976,-0.118506455,0.118506455,-0.22075448084406019,0.13062992398877657,0.23701291,0.35186490775081747,0.3513844048328367,0.11437149483283673,0.15084837286542535,-0.0438495644447647,0.22421518251870906,-0.1509067692696058
-0.02,0.45,520,max_steps,0.029831927281770268,23,20,288,314,0.0,0.0,0.9757264091888433,0.03781944464816589,0.3995778949537994,-0.118506455,0.118506455,-0.2009283949032172,0.13045201470368575,0.23701291,0.3314390665162984,0.33138040960690296,0.09436749960690297,0.17004690017670404,-0.04895065281883941,0.28832436825417396,-0.20469009299812296
0.0,0.45,520,max_steps,0.027961509574994117,5,3,290,298,0.0,0.0,0.9351360759944273,0.04183971796396332,0.9321332298638948,-0.118506455,0.118506455,-0.18068115871721427,0.12329083307783202,0.23701291,0.3055094956573704,0.3039719917950463,0.06695908179504631,0.2666370366172136,-0.11229862828067264,0.5819770315451303,-0.39848989716991295
0.02,0.45,520,max_steps,0.027914655601200863,6,3,290,301,0.0,0.0,0.8789899022610086,0.07640205501760933,1.385711679539149,-0.118506455,0.118506455,-0.1770806822849202,0.1191601699838335,0.23701291,0.29770862248454877,0.2962408522687537,0.05922794226875369,0.3500798928185675,-0.16709226023048573,0.8060447334339961,-0.5463369046241302
0.04,0.45,520,max_steps,0.02798008298541496,6,3,290,301,0.0,0.0,0.8707152329165456,0.08082889055062087,1.4533663272990742,-0.118506455,0.118506455,-0.17694990507512295,0.11821809768375824,0.23701291,0.2966397859203228,0.2951680027588812,0.05815509275888123,0.35797542031885604,-0.17720613988111267,0.826591745970267,-0.570525025624498
