a_ankle,a_roll,steps,reason,return,right_clearance,left_clearance,right_air_steps,right_air_streak,first_air_step,last_air_step,right_force_min,right_force_ratio,min_up_z,support_slip,max_root_ang_vel,gap_delta,max_gap_delta,final_x,final_y,final_x_velocity,final_y_velocity
-1.0,0.0,520,max_steps,490.1782834644778,0.03857466125642438,0.004173251397467194,51,49,278,331,0.0,0.0,0.9942769783206935,0.028536424491031304,0.3807006968811071,0.17233595947256794,0.17233595947256794,0.05995855547833132,-0.01738946532211334,0.03273553217701387,-0.020874407943175858
-1.0,0.2,520,max_steps,486.63423269941364,0.037214676919096454,0.004134882849879111,48,46,278,329,0.0,0.0,0.9943279652080519,0.02835790701106009,0.38516046351243205,0.16237631712417153,0.16237631712417153,0.06363127127745898,-0.014033322139923284,0.03906226694561323,-0.025259765351705224
-1.0,0.4,520,max_steps,482.8445058630068,0.03603364689221018,0.004122744840129165,46,44,278,327,0.0,0.0,0.994225356633806,0.029309582049136106,0.3845529963185921,0.15284876938351935,0.15284876938351935,0.06765297053581128,-0.011299475712561239,0.04604341827086335,-0.029873196000581203
-1.0,0.6,520,max_steps,476.0765619313959,0.03489921279370717,0.004112923617860573,43,42,280,325,0.0,0.0,0.9940744943959812,0.028341583610491786,0.3811380798972728,0.14358870053055448,0.14358870053055448,0.0715079012204629,-0.008901287849308461,0.05373371754641309,-0.03448150480166845
-1.0,0.8,520,max_steps,468.7915767068128,0.03376243532409923,0.004097769242261282,41,40,280,323,0.0,0.0,0.9938424989527838,0.03046412369310431,0.3808309791466779,0.13378288004658626,0.13380076855482018,0.07597445346257588,-0.0073246228798360185,0.06295210327119548,-0.03919910937679093
-1.0,1.0,520,max_steps,458.8257296737586,0.03266750164131635,0.004080938079178087,38,37,280,320,0.0,0.0,0.9934431116240527,0.03464195843950274,0.38052381790269046,0.12495482869284838,0.12508232146271545,0.08057821670121469,-0.006242431650426599,0.07436359546141097,-0.0471815203126833
-0.75,0.0,520,max_steps,489.9608458078088,0.03766844419678188,0.004213796815904114,47,46,281,330,0.0,0.0,0.9943529790876054,0.028562842226753656,0.3718672270016357,0.17138003978208852,0.17138003978208852,0.06008652891090954,-0.017163225241745985,0.030770214738241555,-0.021791411163572968
-0.75,0.2,520,max_steps,487.67019460425183,0.03653768002233311,0.004099704082262526,45,44,280,328,0.0,0.0,0.9943683567654082,0.028082228846029636,0.37949064452203973,0.16102261357481942,0.16102261357481942,0.06379040339622521,-0.014517377650629175,0.03629503368832603,-0.026569118682449492
-0.75,0.4,520,max_steps,483.7754532608014,0.03536903670674775,0.004070451283487583,43,42,280,326,0.0,0.0,0.994253067934952,0.029743920832302637,0.3789124062631548,0.15119026135965577,0.15119026135965577,0.06793052249188182,-0.0117872854761032,0.04365339565580626,-0.03191780870907707
-0.75,0.6,520,max_steps,479.2291267381631,0.03430935543382527,0.004059106354712572,42,41,280,324,0.0,0.0,0.994038150038655,0.03164202948898217,0.3783743132895213,0.14117612691223472,0.14117612691223472,0.07210797072367271,-0.010282968177703685,0.0501180605698383,-0.03869538357447268
-0.75,0.8,520,max_steps,470.72745923579896,0.03318528117388894,0.004043790446362355,39,38,280,322,0.0,0.0,0.9937786280845113,0.031758358730901375,0.3788860710534859,0.13188868315589689,0.13193565518494463,0.07689579459100024,-0.008188059142272055,0.0606889968649935,-0.04261578842761903
-0.75,1.0,520,max_steps,462.16600182952396,0.032267046754300074,0.004033463502188132,37,36,280,320,0.0,0.0,0.9932680663982592,0.034339574776417615,0.3783314407383559,0.12224488217774168,0.12250165532807814,0.08208155708608675,-0.008015953670219907,0.07188509781700696,-0.05370289001731241
-0.5,0.0,520,max_steps,492.58325219118626,0.036977466498827286,0.004196737291817729,47,45,281,330,0.0,0.0,0.99433629444607,0.02671224764727086,0.3586066469806993,0.16889939487277053,0.16889939487277053,0.060740547857297676,-0.017692011141550747,0.028711472837847852,-0.023163015556964595
-0.5,0.2,520,max_steps,487.7807453702132,0.035839176416087457,0.004047144795409255,43,42,283,328,0.0,0.0,0.9944040945451734,0.027812083806144583,0.35585979077992363,0.15955657151340882,0.15955657151340882,0.0642316836518972,-0.013896565176528928,0.036112717140643305,-0.02810998845390207
-0.5,0.4,520,max_steps,485.88259889048396,0.034634176544582604,0.0040205516361476665,43,41,282,326,0.0,0.0,0.9942730872982334,0.030122982773084044,0.3645882501414564,0.1489409371207067,0.1489409371207067,0.0684348115308808,-0.012125548816452449,0.04193526050077809,-0.03414141255848919
-0.5,0.6,520,max_steps,477.64183022290894,0.03359427828602335,0.004010528458173644,39,39,286,324,0.0,0.0,0.994022449132024,0.030408537173700567,0.3623375346081778,0.13954418858527026,0.13954418858527026,0.07293924120190723,-0.009913769619347639,0.05022966086330705,-0.04080149265754652
-0.5,0.8,520,max_steps,467.86025765283625,0.032394837326743434,0.003986018158117013,35,35,287,321,0.0,0.0,0.9937535901879373,0.029826919765697537,0.3624531022473144,0.13044712002112283,0.13050958955738476,0.07783379682765983,-0.0075952337945552895,0.06168441479983327,-0.04432952228775265
-0.5,1.0,520,max_steps,460.6170239400547,0.03155404823357838,0.003972877079353759,34,33,282,319,0.0,0.0,0.9931595511979153,0.033602984315383805,0.36895445814655825,0.12046310982705102,0.1207335624866687,0.08343880576600149,-0.008166561030148614,0.07278466069196785,-0.05717482706735721
-0.25,0.0,520,max_steps,486.26972916784086,0.03580112296354107,0.004159496795182363,42,41,283,328,0.0,0.0,0.9943541480560333,0.025466915770713184,0.3425944580254119,0.16661727150423386,0.16661727150423386,0.061692730069742754,-0.01745632334539247,0.02837467695446843,-0.025126187409368343
-0.25,0.2,520,max_steps,482.3851255253861,0.034737351532380736,0.0040256278303548235,39,39,289,327,0.0,0.0,0.9944282328929506,0.02883009774810369,0.34244590640267963,0.15686204673312124,0.15686204673312124,0.06497105066216176,-0.013902232027581736,0.03504580225733342,-0.030344487653787784
-0.25,0.4,520,max_steps,477.8800126065894,0.033527798735744976,0.003943730744733233,37,36,284,324,0.0,0.0,0.9943053313664708,0.028710499529427166,0.34972704032139124,0.14714420702002254,0.14714420702002254,0.06908923797402244,-0.011231688270346143,0.04232565641328931,-0.03618996510996726
-0.25,0.6,520,max_steps,470.92061476857793,0.032535117134951455,0.003934463800272972,34,34,289,322,0.0,0.0,0.9939869732035556,0.030823977642019697,0.34725891190801755,0.1370986913331194,0.1370986913331194,0.07417718318989151,-0.009707237066745934,0.05040447864894956,-0.04333096579560461
-0.25,0.8,520,max_steps,463.80631682985893,0.031551097534928255,0.003916382931834134,32,31,284,319,0.0,0.0,0.9935392004346846,0.03235526213933685,0.3540214682964065,0.12657396054047956,0.12671967022341193,0.08003309081182147,-0.009135720983694098,0.06138298565334274,-0.05097920967478853
-0.25,1.0,520,max_steps,455.4052187473089,0.030682238471753526,0.003901260045703722,30,29,284,317,0.0,0.0,0.9929268497384901,0.03536612565889833,0.3533114033414171,0.11734351575560517,0.11775487962704936,0.08565099429389987,-0.0088933922869716,0.07519927310495687,-0.06340203117692364
0.0,0.0,520,max_steps,478.7220790433432,0.03467955826241555,0.004076777119079597,38,38,291,328,0.0,0.0,0.9944533154593226,0.025653791443423748,0.3290814692604218,0.16410940290526535,0.16410940290526535,0.06212780459434485,-0.016391440560545565,0.02859901018678159,-0.02729059155617161
0.0,0.2,520,max_steps,475.5935463199583,0.03351590653931388,0.003941851296311374,36,35,286,325,0.0,0.0,0.9944239808530861,0.02840452823114987,0.3349083951627239,0.15366882385167405,0.15366882385167405,0.06605117227577258,-0.013965807828601323,0.034768444775554026,-0.03308122537259929
0.0,0.4,520,max_steps,470.23532171436557,0.03252496987044318,0.0038676694088121133,33,32,286,323,0.0,0.0,0.9942671847851708,0.02863862209883106,0.3342604540935972,0.1439099845770335,0.1439099845770335,0.07036960702718452,-0.011325103074552704,0.042311262939454766,-0.03955247426028262
0.0,0.6,520,max_steps,464.68194257325865,0.031648989020337734,0.0038596123550785136,31,30,286,321,0.0,0.0,0.9938962996789137,0.031442565403298525,0.3325807127169484,0.13386774652232855,0.13386774652232855,0.07598770942374765,-0.009956953283002466,0.05119209459810493,-0.04677524816698413
0.0,0.8,520,max_steps,455.1625466619721,0.03075780633505519,0.003843820996023803,27,27,292,318,0.0,0.0,0.9933423410554147,0.03276425476557122,0.3314692242027649,0.12326836252945036,0.12349644891753733,0.0822286627503282,-0.009700638463253421,0.06327898191269882,-0.05680283092683031
0.0,1.0,520,max_steps,443.1522913275263,0.029872087280410575,0.0038273995727405308,22,21,287,313,0.0,0.0,0.9926948940546311,0.035080096884416115,0.33411381809597906,0.11424322725787697,0.11465476758022988,0.08784698643050835,-0.008883920674438255,0.07924728570465804,-0.06908774809206361
