preload_amp,ankle,knee,lift_height,steps,reason,left_clearance,right_clearance,left_air_steps,left_air_swing,left_air_return,left_air_streak,first_air_step,last_air_step,left_force_min,left_force_ratio,min_up_z,support_slip,max_root_ang_vel,final_x,final_y,final_x_velocity,final_y_velocity
0.15,-0.09,0.0,0.008,520,max_steps,0.011059681760780683,0.004439029650154289,58,0,58,54,458,520,81.74024888566684,0.25019520268571876,0.9962873256622474,0.17378907649648903,0.3622537773755096,0.005543364516990406,-0.019910502214689048,0.05024636495578995,0.3339143793843626
0.15,-0.06,0.0,0.008,520,max_steps,0.004292090014707706,0.003431347195326312,0,0,0,0,-1,-1,96.05696729336637,0.29384740954617666,0.9980026144092433,0.0287046041494899,0.23788314898637242,0.003088491645137628,-0.0020954511311429367,0.00026479060765918945,0.05016372437307044
0.15,0.045,0.0,0.008,520,max_steps,0.004292090014707706,0.0035021646183103217,0,0,0,0,-1,-1,79.32684262876313,0.25613087942787127,0.9984602364285445,0.0287046041494899,0.18500321669994288,-0.0074926243078705865,0.00022107926331481334,-0.010004189506119494,0.05443532083859347
0.15,0.06,0.0,0.008,520,max_steps,0.012948575041242708,0.004584372915882165,46,0,46,39,446,520,98.65089042050637,0.3030265193091798,0.9968099261679699,0.1682715225981927,0.33321263454534766,0.020835479186290775,-0.036114402049487286,-0.05814670969150695,0.3074541137230992
0.15,-0.09,-0.004,0.008,520,max_steps,0.012503994411417335,0.004530251897923984,61,0,61,57,455,520,80.13027683607396,0.24525205168645636,0.9960251267026441,0.17391876938622505,0.32222794816454814,0.003814659214566753,-0.029264459469354877,0.050323786896382984,0.2998262699716568
0.15,-0.06,-0.004,0.008,520,max_steps,0.004292090014707706,0.0034443422141038488,0,0,0,0,-1,-1,95.83474612631562,0.29318348273172445,0.9977981511262927,0.0287046041494899,0.24256641004801124,0.0034845505978546025,-0.0019967723714864336,0.00013815911183787187,0.05150780016316543
0.15,0.045,-0.004,0.008,520,max_steps,0.004292090014707706,0.0034662392228458766,0,0,0,0,-1,-1,76.2346770931573,0.2482634161114751,0.9986399120078547,0.0287046041494899,0.17322287828844385,-0.006918250725907383,-9.349745437087316e-05,-0.010901542628149609,0.051155280097604956
0.15,0.06,-0.004,0.008,520,max_steps,0.004439208611442147,0.004003331435772459,36,0,36,34,467,503,82.32400087607535,0.25165227931459017,0.9975760176474765,0.17374581257578411,0.2673504059741158,-0.03222278904082902,0.011473499075745491,-0.03403738440745422,0.1995758908791027
0.15,-0.09,0.0,0.01,520,max_steps,0.011188500339653996,0.004449031898648433,59,0,59,55,458,520,81.83231039866537,0.25048597823038765,0.996776648485294,0.17421695487223182,0.35886353768831164,0.005847140908645563,-0.020785376356724394,0.0481843217596007,0.3316816828576494
0.15,-0.06,0.0,0.01,520,max_steps,0.004292090014707706,0.003452471049820223,0,0,0,0,-1,-1,95.99436976683886,0.29367434781125634,0.9982748112837971,0.0287046041494899,0.24212014976107257,0.002623596524008612,-0.0020908645661883566,0.0017955232816758402,0.052175497292435286
0.15,0.045,0.0,0.01,520,max_steps,0.004292090014707706,0.003518365025130893,0,0,0,0,-1,-1,82.74180512426183,0.2726033422118143,0.9986680320822423,0.0287046041494899,0.18469560597169626,-0.007247949285003063,-1.7472719704004805e-05,-0.011796200669704411,0.056684940016950826
0.15,0.06,0.0,0.01,520,max_steps,0.007585923952783853,0.004251669940214864,43,0,43,41,465,513,78.03228395331834,0.23871714019109386,0.9976265344688884,0.17101285373730135,0.34046650650528276,-0.031825338245805475,0.0019903735564486096,-0.0660356648885068,0.33533055718839583
0.15,-0.09,-0.004,0.01,520,max_steps,0.012656558618989636,0.004540779877504439,59,0,59,54,457,520,80.16910707249468,0.2453855837471616,0.9965366562217374,0.17349380351669105,0.31780779775897,0.004477661545606424,-0.03044420905401754,0.04850586900199542,0.2969470605379593
0.15,-0.06,-0.004,0.01,520,max_steps,0.004292090014707706,0.003469025736001524,0,0,0,0,-1,-1,95.64595617535508,0.2926034767686542,0.998076320147282,0.0287046041494899,0.24691188462731925,0.0029404715676162557,-0.002017463456449767,0.0017157759368241798,0.05391845087994999
0.15,0.045,-0.004,0.01,520,max_steps,0.004292090014707706,0.0034758783377594193,0,0,0,0,-1,-1,81.08492010874053,0.2601781822152277,0.998830408540755,0.0287046041494899,0.17378756587082847,-0.006701671857221068,-0.0003635566741413639,-0.011532816043504202,0.052524611826202015
0.15,0.06,-0.004,0.01,520,max_steps,0.004551988492502337,0.004021218942901375,35,0,35,32,468,503,51.20605052070944,0.17805518616418767,0.9979887535409594,0.17584651248312136,0.2705067736736251,-0.030592969704942696,0.01522275611178509,-0.030236117037051074,0.19978327897459394
0.15,-0.09,0.0,0.012,520,max_steps,0.011434540394673808,0.004466128409834673,60,0,60,55,460,520,81.91418843077818,0.25073043987178584,0.9972298956233029,0.17425607212489067,0.35214748748222857,0.005717753225787098,-0.02243719672254929,0.04574942887801586,0.32667009641545486
0.15,-0.06,0.0,0.012,520,max_steps,0.004292090014707706,0.0034711164115583115,0,0,0,0,-1,-1,96.12988432094033,0.2940907762380227,0.9985254693533734,0.0287046041494899,0.24729480453807146,0.0022483285169332223,-0.002094143611776721,0.003152272183308214,0.054086934504198804
0.15,0.045,0.0,0.012,520,max_steps,0.004292090014707706,0.0035315621230646854,0,0,0,0,-1,-1,88.75511085203028,0.2789168852459046,0.9988492597890686,0.0287046041494899,0.1863475675122885,-0.007064287695522642,-0.00019082702306433497,-0.013014876465442153,0.058774471601400195
0.15,0.06,0.0,0.012,520,max_steps,0.008014185894078818,0.0042820894120404185,50,0,50,46,455,514,78.44946439595451,0.23956217690578777,0.998036006210827,0.1728251660689317,0.3462513759707861,-0.03435740526881854,0.0021131690961784435,-0.059868169924965534,0.3455044626368396
0.15,-0.09,-0.004,0.012,520,max_steps,0.012827713215779649,0.004553052857948353,61,0,61,58,454,520,80.16449284341759,0.24536003796511432,0.9970065798313689,0.17317939608273236,0.3130286419834201,0.004678568482652045,-0.031633513203836346,0.04639595140259407,0.2936892818910588
0.15,-0.06,-0.004,0.012,520,max_steps,0.004292090014707706,0.0034911243787847795,0,0,0,0,-1,-1,90.6705616159966,0.30642579311678536,0.9983437906792009,0.0287046041494899,0.2524477054223648,0.002541990590993377,-0.0020192460701337436,0.0032616788196100813,0.05613203011828215
0.15,0.045,-0.004,0.012,520,max_steps,0.004292090014707706,0.0034853034636925795,0,0,0,0,-1,-1,82.42197050730215,0.2634591196076447,0.998998905297281,0.0287046041494899,0.17492729137986165,-0.006508351071444914,-0.0006123061846408879,-0.01196930647463978,0.053732335041198905
0.15,0.06,-0.004,0.012,520,max_steps,0.005660001299756565,0.004107511317305551,46,0,46,42,454,508,79.84003174657727,0.2558524619320221,0.9983160448954594,0.1759982777266826,0.2901006001807242,-0.028062402280193466,0.015100702503603996,-0.04119640198267534,0.2509702767917436
0.16,-0.09,0.0,0.008,520,max_steps,0.04176553366082805,0.006896232870918895,69,0,69,60,447,520,70.7342641469298,0.21639842511604723,0.9811071257753532,0.17442943059765872,0.2877813124966968,-0.005781938733891868,-0.16471956700851917,0.016059244953801628,-0.14786528665766535
0.16,-0.06,0.0,0.008,520,max_steps,0.013582984461088535,0.004636404287998538,62,0,62,56,451,520,68.02333841869091,0.20812874578741758,0.9978647818163427,0.18448409690952597,0.2861915873081146,0.0019341305072437176,-0.04263764828992721,0.01829064513787779,0.2798140067258598
0.16,0.045,0.0,0.008,520,max_steps,0.01588134281963382,0.004789147880309916,60,0,60,58,448,520,50.818753934617654,0.16230987196136604,0.9972109769211754,0.17837607555731738,0.23213104154169564,-0.012222532976232381,-0.055635647677880325,-0.03990649938394108,0.23157154440445565
0.16,0.06,0.0,0.008,520,max_steps,0.04722425571078419,0.007419669579014819,60,0,60,59,449,520,55.09380051356555,0.16848562271654205,0.9747357207878319,0.1663081033574409,0.3521139990606483,-0.011860144079356335,-0.19073941139499334,-0.034009943507718125,-0.22695775599339174
0.16,-0.09,-0.004,0.008,520,max_steps,0.04318391618949961,0.007033930170115582,67,0,67,65,444,520,68.0888184079621,0.20827690522881945,0.9796615074743604,0.17380794319370826,0.29752751745516265,-0.006774123483648336,-0.17032066121800263,0.016929814033142122,-0.16790040529723557
0.16,-0.06,-0.004,0.008,520,max_steps,0.013837290445588096,0.004650865507054243,62,0,62,57,449,520,68.54382493083583,0.2097095580898483,0.9976737647585951,0.18391778586289978,0.27931538721478,0.0020141060182871195,-0.044237727629449,0.019739400245387867,0.2740741977259634
0.16,0.045,-0.004,0.008,520,max_steps,0.013704654555023371,0.004657028808563536,56,0,56,56,465,520,48.73473810113718,0.15731983558584134,0.997833082908687,0.17946040063727128,0.2858025318995375,-0.012790300233462306,-0.04284355360381697,-0.04086940753373724,0.2761013854770902
0.16,0.06,-0.004,0.008,520,max_steps,0.03898172669566438,0.006625374996461916,65,0,65,63,449,520,51.9487923126681,0.15887242848775437,0.9832329266985649,0.17164757902572902,0.2770267363870031,-0.014937599022236325,-0.15594537077917411,-0.019234199027014467,-0.11053283057241123
0.16,-0.09,0.0,0.01,520,max_steps,0.044137443179622926,0.00712635089271231,69,0,69,65,447,520,57.48565152591906,0.19610566641254162,0.9786593435008173,0.1734461088377353,0.3012007356985122,-0.006312929491713872,-0.17423174948170966,0.010915746357283498,-0.1805679569812174
0.16,-0.06,0.0,0.01,520,max_steps,0.015007612011236529,0.004722425936040407,62,0,62,62,459,520,52.52981907575101,0.1762951961674945,0.9974802815963106,0.18349892411097546,0.24990149050999722,0.0009855034113872294,-0.05132089777680803,0.0159195946903031,0.25019034792671146
0.16,0.045,0.0,0.01,520,max_steps,0.016583573407704374,0.004830150993759469,58,0,58,56,452,520,62.518989526282816,0.19423599022159535,0.9969983800460019,0.17823394270067322,0.21547920804298437,-0.011501127302728382,-0.05969843539248301,-0.037813155062380636,0.2181463407393343
0.16,0.06,0.0,0.01,520,max_steps,0.05202753608630119,0.007866785012713082,67,0,67,64,447,520,31.903562423226475,0.10621370354617493,0.9686627082478606,0.16656717807949328,0.4317004710257648,-0.009001244039619018,-0.20826325066549148,0.0014411162339339786,-0.2918424419016442
0.16,-0.09,-0.004,0.01,520,max_steps,0.04550085275695341,0.007256618482100269,67,0,67,64,452,520,69.36512699622102,0.2121856304168111,0.9771779248404883,0.1725915975206836,0.3123260229901596,-0.00709355849771345,-0.17963781487132888,0.011415291490563443,-0.19982063240052525
0.16,-0.06,-0.004,0.01,520,max_steps,0.015392603415774989,0.004744943207312169,61,0,61,57,447,520,51.90236433103755,0.17453817991733309,0.9973685259941499,0.18398247939188514,0.2406036145318069,0.0009997907413767776,-0.053531156390735024,0.017090029880695877,0.2423712644979037
0.16,0.045,-0.004,0.01,520,max_steps,0.014185323447452977,0.004685019023878884,59,0,59,56,458,520,58.54047388351562,0.1840401899242433,0.9977050111530004,0.1792272732904706,0.2731737295972199,-0.012231690770207427,-0.04596023012539067,-0.03889358705432398,0.26604011143405276
0.16,0.06,-0.004,0.01,520,max_steps,0.04681228008283504,0.007384618449910521,64,0,64,62,452,520,40.80157212015757,0.13005212253220885,0.9752494525228271,0.16830723621745,0.33584408347902656,-0.008500958768233622,-0.18596421696467047,-0.0020160885844302434,-0.21835168903553379
