label,timesteps,checkpoint,penetrating_frames,penetrating_samples,mean_positive_penetration_mm,mean_frame_max_penetration_mm,max_penetration_mm,frames_ge_20mm,frames_ge_30mm,frames_ge_40mm,frames_ge_50mm,frames_ge_60mm,mean_deficit_mm,max_deficit_mm,squared_deficit,mean_phase_cost,max_phase_excess_mm,mean_v2_reward,max_joint_clip_cost,hotspot_685_700_max_penetration_mm,hotspot_685_700_mean_max_penetration_mm,hotspot_685_700_frames_ge_40mm
checkpoint,4096,C:\Users\ASUS\OneDrive\Desktop\CSE 499\unitree-g1-rl-il-walking(OpenHE RL - Kinematic PPO)\models\ppo_kinematic\v2_balanced_checkpointed65k_seed425_checkpoints\v2_balanced_checkpointed65k_seed425_004096_steps.zip,409,1201,17.02312127528844,15.131878707547845,64.65104967355728,218,107,58,16,2,12.40499329095641,94.7948907315731,2.3908350531308122,0.030492526879566627,59.403986965771765,0.3960220556110421,0.0,64.65104967355728,52.429546136409044,16
checkpoint,8192,C:\Users\ASUS\OneDrive\Desktop\CSE 499\unitree-g1-rl-il-walking(OpenHE RL - Kinematic PPO)\models\ppo_kinematic\v2_balanced_checkpointed65k_seed425_checkpoints\v2_balanced_checkpointed65k_seed425_008192_steps.zip,266,675,17.085197729703157,8.942984308641266,54.93280664086342,118,76,27,7,0,5.307281670814146,101.10267892479897,0.9211742316198797,0.016824730347436694,49.93280664086342,0.7211847268948433,0.0,19.767774268984795,11.010385380359367,0
checkpoint,12288,C:\Users\ASUS\OneDrive\Desktop\CSE 499\unitree-g1-rl-il-walking(OpenHE RL - Kinematic PPO)\models\ppo_kinematic\v2_balanced_checkpointed65k_seed425_checkpoints\v2_balanced_checkpointed65k_seed425_012288_steps.zip,166,329,17.223545646120993,4.909352321646264,67.04992800951004,53,31,23,18,6,1.623812771363289,67.12725467979908,0.2611357140917331,0.011913408946189264,62.04992800951004,0.8534080210396937,0.0,67.04992800951004,57.07769840955734,16
checkpoint,16384,C:\Users\ASUS\OneDrive\Desktop\CSE 499\unitree-g1-rl-il-walking(OpenHE RL - Kinematic PPO)\models\ppo_kinematic\v2_balanced_checkpointed65k_seed425_checkpoints\v2_balanced_checkpointed65k_seed425_016384_steps.zip,86,165,18.689971892903984,2.686741647530214,54.62075397372246,31,21,14,2,0,0.9014789959197975,54.4590250402689,0.13131478492276813,0.005610624197615042,49.62075397372246,0.9162046470722374,0.0,54.62075397372246,44.60731288418174,13
checkpoint,20480,C:\Users\ASUS\OneDrive\Desktop\CSE 499\unitree-g1-rl-il-walking(OpenHE RL - Kinematic PPO)\models\ppo_kinematic\v2_balanced_checkpointed65k_seed425_checkpoints\v2_balanced_checkpointed65k_seed425_020480_steps.zip,64,114,15.53469436686627,1.5546380399459796,44.40116882324219,18,14,5,0,0,0.6581341483435303,44.843234941363335,0.07692373099488165,0.0027637123302735396,39.40116882324219,0.9480906248711394,0.0,44.40116882324219,35.91790306381881,5
checkpoint,24576,C:\Users\ASUS\OneDrive\Desktop\CSE 499\unitree-g1-rl-il-walking(OpenHE RL - Kinematic PPO)\models\ppo_kinematic\v2_balanced_checkpointed65k_seed425_checkpoints\v2_balanced_checkpointed65k_seed425_024576_steps.zip,75,129,14.997731795775444,1.7636837533389615,43.42160001397133,21,14,2,0,0,0.5982513650027107,41.510713174939156,0.07172087213944646,0.0027842425474280987,38.42160001397133,0.949015260102279,0.0,43.42160001397133,34.770655329339206,2
checkpoint,28672,C:\Users\ASUS\OneDrive\Desktop\CSE 499\unitree-g1-rl-il-walking(OpenHE RL - Kinematic PPO)\models\ppo_kinematic\v2_balanced_checkpointed65k_seed425_checkpoints\v2_balanced_checkpointed65k_seed425_028672_steps.zip,86,159,17.01241141787742,2.464713443281011,43.94723102450371,32,19,2,0,0,0.6436682176263123,41.74595734104514,0.07989697538167183,0.0037310927545314036,38.94723102450371,0.9349976536302783,0.0,43.94723102450371,35.29154881834984,2
checkpoint,32768,C:\Users\ASUS\OneDrive\Desktop\CSE 499\unitree-g1-rl-il-walking(OpenHE RL - Kinematic PPO)\models\ppo_kinematic\v2_balanced_checkpointed65k_seed425_checkpoints\v2_balanced_checkpointed65k_seed425_032768_steps.zip,77,138,16.716740649839714,2.1372168402756238,42.377036064863205,27,13,2,0,0,0.5669666650796952,42.71454446017742,0.0701852531617738,0.0031270150862211595,37.377036064863205,0.9326986351626106,0.0,42.377036064863205,33.92761794384569,2
checkpoint,36864,C:\Users\ASUS\OneDrive\Desktop\CSE 499\unitree-g1-rl-il-walking(OpenHE RL - Kinematic PPO)\models\ppo_kinematic\v2_balanced_checkpointed65k_seed425_checkpoints\v2_balanced_checkpointed65k_seed425_036864_steps.zip,81,152,17.339314806361614,2.4117375408282222,48.46084862947464,31,18,8,0,0,0.704042007774235,49.11113612353802,0.09169451271001364,0.004219019867701951,43.46084862947464,0.9286363214106386,0.0,48.46084862947464,40.13790877070278,8
checkpoint,40960,C:\Users\ASUS\OneDrive\Desktop\CSE 499\unitree-g1-rl-il-walking(OpenHE RL - Kinematic PPO)\models\ppo_kinematic\v2_balanced_checkpointed65k_seed425_checkpoints\v2_balanced_checkpointed65k_seed425_040960_steps.zip,80,153,16.308197558757065,2.2878191921396644,44.94355246424675,33,17,7,0,0,0.628776655436307,45.21045822650194,0.08019890682317117,0.003522704735738922,39.94355246424675,0.9383304914523338,0.0,44.94355246424675,36.43820865545422,7
